#Gene1	Gene2	Ka	Ks	Ka/Ks
R570_Chr01_g0031	CC01_Chr01_g0031	0.632091	0.448104	1.410590
R570_Chr01_g0025	CC01_Chr01_g0025	0.719554	0.632630	1.137401
R570_Chr01_g0019	CC01_Chr01_g0019	0.858056	0.615174	1.394817
R570_Chr01_g0010	CC01_Chr01_g0010	0.630160	0.395654	1.592706
R570_Chr01_g0004	CC01_Chr01_g0004	0.737581	0.484568	1.522140
R570_Chr01_g0047	CC01_Chr01_g0047	0.713606	0.691657	1.031733
R570_Chr01_g0032	CC01_Chr01_g0032	0.666769	0.549089	1.214317
R570_Chr01_g0026	CC01_Chr01_g0026	0.721200	0.454708	1.586072
R570_Chr01_g0011	CC01_Chr01_g0011	0.567927	0.671286	0.846029
R570_Chr01_g0005	CC01_Chr01_g0005	0.660221	0.565797	1.166887
R570_Chr01_g0048	CC01_Chr01_g0048	0.887943	0.665335	1.334581
R570_Chr01_g0033	CC01_Chr01_g0033	0.870182	0.631042	1.378961
R570_Chr01_g0001	CC01_Chr01_g0001	0.703983	0.621665	1.132415
R570_Chr01_g0038	CC01_Chr01_g0038	0.849588	0.557216	1.524701
R570_Chr01_g0006	CC01_Chr01_g0006	0.687901	0.568665	1.209677
R570_Chr01_g0023	CC01_Chr01_g0023	0.938311	0.862828	1.087483
R570_Chr01_g0040	CC01_Chr01_g0040	0.678232	0.582307	1.164733
R570_Chr01_g0028	CC01_Chr01_g0028	0.659535	0.663779	0.993606
R570_Chr01_g0045	CC01_Chr01_g0045	0.742017	0.616986	1.202648
R570_Chr01_g0013	CC01_Chr01_g0013	0.800680	0.481946	1.661346
R570_Chr01_g0030	CC01_Chr01_g0030	0.804614	0.537110	1.498043
R570_Chr01_g0018	CC01_Chr01_g0018	0.720975	0.839749	0.858560
R570_Chr01_g0035	CC01_Chr01_g0035	0.656489	0.693194	0.947050
R570_Chr01_g0003	CC01_Chr01_g0003	0.676645	0.515635	1.312256
R570_Chr01_g0020	CC01_Chr01_g0020	0.689563	0.786013	0.877291
R570_Chr01_g0014	CC01_Chr01_g0014	0.661940	0.432277	1.531287
R570_Chr01_g0008	CC01_Chr01_g0008	0.833246	0.607540	1.371507
R570_Chr01_g0042	CC01_Chr01_g0042	0.745114	0.538539	1.383585
R570_Chr01_g0036	CC01_Chr01_g0036	0.733295	0.372901	1.966460
R570_Chr01_g0021	CC01_Chr01_g0021	0.610505	0.769588	0.793288
R570_Chr01_g0015	CC01_Chr01_g0015	0.709073	0.628415	1.128353
R570_Chr01_g0009	CC01_Chr01_g0009	0.902039	0.587135	1.536338
R570_Chr01_g0043	CC01_Chr01_g0043	0.653455	0.759440	0.860443
R570_Chr01_g0037	CC01_Chr01_g0037	0.617373	0.949606	0.650135
R570_Chr01_g0022	CC01_Chr01_g0022	0.747362	0.568665	1.314239
R570_Chr01_g0016	CC01_Chr01_g0016	0.822274	0.726494	1.131838
R570_Chr01_g0050	CC01_Chr01_g0050	0.813484	0.614602	1.323594
R570_Chr01_g0027	CC01_Chr01_g0027	0.778471	0.545487	1.427112
R570_Chr01_g0044	CC01_Chr01_g0044	0.634540	0.616021	1.030062
R570_Chr01_g0012	CC01_Chr01_g0012	0.736093	0.763197	0.964486
R570_Chr01_g0049	CC01_Chr01_g0049	0.661980	1.017276	0.650738
R570_Chr01_g0017	CC01_Chr01_g0017	0.701237	0.744939	0.941335
R570_Chr01_g0034	CC01_Chr01_g0034	0.681735	0.749471	0.909622
R570_Chr01_g0002	CC01_Chr01_g0002	0.836862	0.601557	1.391159
R570_Chr01_g0039	CC01_Chr01_g0039	0.685152	0.835153	0.820391
R570_Chr01_g0007	CC01_Chr01_g0007	0.743112	0.642038	1.157427
R570_Chr01_g0024	CC01_Chr01_g0024	0.774214	0.744672	1.039672
R570_Chr01_g0041	CC01_Chr01_g0041	0.649804	0.732459	0.887154
R570_Chr01_g0029	CC01_Chr01_g0029	0.637297	0.931285	0.684320
R570_Chr01_g0046	CC01_Chr01_g0046	0.792963	0.582794	1.360624
