Block_ID	Status	Gene1_ID	Chr1	Start1	End1	Strand1	Gene2_ID	Chr2	Start2	End2	Strand2	E_Value	CDS1_Len	CDS2_Len	Prot1_Len	Prot2_Len
0	Syntenic	R570_Chr01_g0001.1	Chr01	1000	1500	+	Spont_Chr01_g0001.1	Chr01	1000	1500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0002.1	Chr01	2000	2500	+	Spont_Chr01_g0002.1	Chr01	2000	2500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0003.1	Chr01	3000	3500	+	Spont_Chr01_g0003.1	Chr01	3000	3500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0004.1	Chr01	4000	4500	+	Spont_Chr01_g0004.1	Chr01	4000	4500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0005.1	Chr01	5000	5500	+	Spont_Chr01_g0005.1	Chr01	5000	5500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0006.1	Chr01	6000	6500	+	Spont_Chr01_g0006.1	Chr01	6000	6500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0007.1	Chr01	7000	7500	+	Spont_Chr01_g0007.1	Chr01	7000	7500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0008.1	Chr01	8000	8500	+	Spont_Chr01_g0008.1	Chr01	8000	8500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0009.1	Chr01	9000	9500	+	Spont_Chr01_g0009.1	Chr01	9000	9500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0010.1	Chr01	10000	10500	+	Spont_Chr01_g0010.1	Chr01	10000	10500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0011.1	Chr01	11000	11500	+	Spont_Chr01_g0011.1	Chr01	11000	11500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0012.1	Chr01	12000	12500	+	Spont_Chr01_g0012.1	Chr01	12000	12500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0013.1	Chr01	13000	13500	+	Spont_Chr01_g0013.1	Chr01	13000	13500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0014.1	Chr01	14000	14500	+	Spont_Chr01_g0014.1	Chr01	14000	14500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0015.1	Chr01	15000	15500	+	Spont_Chr01_g0015.1	Chr01	15000	15500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0016.1	Chr01	16000	16500	+	Spont_Chr01_g0016.1	Chr01	16000	16500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0017.1	Chr01	17000	17500	+	Spont_Chr01_g0017.1	Chr01	17000	17500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0018.1	Chr01	18000	18500	+	Spont_Chr01_g0018.1	Chr01	18000	18500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0019.1	Chr01	19000	19500	+	Spont_Chr01_g0019.1	Chr01	19000	19500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0020.1	Chr01	20000	20500	+	Spont_Chr01_g0020.1	Chr01	20000	20500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0021.1	Chr01	21000	21500	+	Spont_Chr01_g0021.1	Chr01	21000	21500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0022.1	Chr01	22000	22500	+	Spont_Chr01_g0022.1	Chr01	22000	22500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0023.1	Chr01	23000	23500	+	Spont_Chr01_g0023.1	Chr01	23000	23500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0024.1	Chr01	24000	24500	+	Spont_Chr01_g0024.1	Chr01	24000	24500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0025.1	Chr01	25000	25500	+	Spont_Chr01_g0025.1	Chr01	25000	25500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0026.1	Chr01	26000	26500	+	Spont_Chr01_g0026.1	Chr01	26000	26500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0027.1	Chr01	27000	27500	+	Spont_Chr01_g0027.1	Chr01	27000	27500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0028.1	Chr01	28000	28500	+	Spont_Chr01_g0028.1	Chr01	28000	28500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0029.1	Chr01	29000	29500	+	Spont_Chr01_g0029.1	Chr01	29000	29500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0030.1	Chr01	30000	30500	+	Spont_Chr01_g0030.1	Chr01	30000	30500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0031.1	Chr01	31000	31500	+	Spont_Chr01_g0031.1	Chr01	31000	31500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0032.1	Chr01	32000	32500	+	Spont_Chr01_g0032.1	Chr01	32000	32500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0033.1	Chr01	33000	33500	+	Spont_Chr01_g0033.1	Chr01	33000	33500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0034.1	Chr01	34000	34500	+	Spont_Chr01_g0034.1	Chr01	34000	34500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0035.1	Chr01	35000	35500	+	Spont_Chr01_g0035.1	Chr01	35000	35500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0036.1	Chr01	36000	36500	+	Spont_Chr01_g0036.1	Chr01	36000	36500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0037.1	Chr01	37000	37500	+	Spont_Chr01_g0037.1	Chr01	37000	37500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0038.1	Chr01	38000	38500	+	Spont_Chr01_g0038.1	Chr01	38000	38500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0039.1	Chr01	39000	39500	+	Spont_Chr01_g0039.1	Chr01	39000	39500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0040.1	Chr01	40000	40500	+	Spont_Chr01_g0040.1	Chr01	40000	40500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0041.1	Chr01	41000	41500	+	Spont_Chr01_g0041.1	Chr01	41000	41500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0042.1	Chr01	42000	42500	+	Spont_Chr01_g0042.1	Chr01	42000	42500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0043.1	Chr01	43000	43500	+	Spont_Chr01_g0043.1	Chr01	43000	43500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0044.1	Chr01	44000	44500	+	Spont_Chr01_g0044.1	Chr01	44000	44500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0045.1	Chr01	45000	45500	+	Spont_Chr01_g0045.1	Chr01	45000	45500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0046.1	Chr01	46000	46500	+	Spont_Chr01_g0046.1	Chr01	46000	46500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0047.1	Chr01	47000	47500	+	Spont_Chr01_g0047.1	Chr01	47000	47500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0048.1	Chr01	48000	48500	+	Spont_Chr01_g0048.1	Chr01	48000	48500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0049.1	Chr01	49000	49500	+	Spont_Chr01_g0049.1	Chr01	49000	49500	+	0.00e+00	300	300	0	0
0	Syntenic	R570_Chr01_g0050.1	Chr01	50000	50500	+	Spont_Chr01_g0050.1	Chr01	50000	50500	+	0.00e+00	300	300	0	0
